month,etf,score,entry_date,entry_price,exit_date,exit_price,units,position_size,pnl,result,hold_days,rsi,entry_type
Mar 2025,GOLDBEES,64,2025-03-06,71.89,2025-04-01,76.2,1064,76490.96,4585.84,T2_HIT,26,57.3,pullback
Mar 2025,PHARMABEES,48,2025-03-06,20.82,2025-03-11,20.51,3709,77221.38,-1149.79,SL_HIT,5,42.0,pullback
Apr 2025,GOLDBEES,76,2025-04-04,74.99,2025-04-07,73.87,1026,76939.74,-1149.12,SL_HIT,3,60.3,pullback
Apr 2025,MID150BEES,70,2025-04-04,192.58,2025-04-07,189.69,397,76454.26,-1147.33,SL_HIT,3,47.1,pullback
May 2025,AUTOBEES,68,2025-05-06,231.32,2025-05-09,227.85,331,76566.92,-1148.57,SL_HIT,3,65.2,pullback
May 2025,PSUBNKBEES,67,2025-05-06,69.36,2025-05-07,68.32,1105,76642.8,-1149.2,SL_HIT,1,44.2,pullback
Jun 2025,NIFTYBEES,77,2025-06-06,280.5,2025-06-13,276.29,273,76576.5,-1149.33,SL_HIT,7,61.7,breakout
Jun 2025,AUTOBEES,65,2025-06-06,241.99,2025-06-13,238.36,316,76468.84,-1147.08,SL_HIT,7,61.5,breakout
Jul 2025,GOLDBEES,85,2025-07-04,80.89,2025-07-09,79.68,950,76845.5,-1149.5,SL_HIT,5,49.7,pullback
Jul 2025,MID150BEES,81,2025-07-04,225.5,2025-07-14,222.12,340,76670.0,-1149.2,SL_HIT,10,64.2,pullback
Aug 2025,AUTOBEES,76,2025-08-06,243.68,2025-08-08,240.02,314,76515.52,-1149.24,SL_HIT,2,50.3,pullback
Aug 2025,GOLDBEES,73,2025-08-06,83.44,2025-08-07,82.19,919,76681.36,-1148.75,SL_HIT,1,61.1,pullback
Sep 2025,NIFTYBEES,63,2025-09-05,279.6,2025-09-26,279.6,274,76610.4,0.0,BE_HIT,21,50.5,pullback
Sep 2025,MID150BEES,61,2025-09-05,217.9,2025-09-17,230.97,351,76482.9,4587.57,T2_HIT,12,46.8,pullback
Oct 2025,NIFTYBEES,80,2025-10-06,283.07,2025-10-16,278.82,270,76428.9,-1147.5,SL_HIT,10,55.1,breakout
Oct 2025,MID150BEES,78,2025-10-06,222.44,2025-10-14,219.1,344,76519.36,-1148.96,SL_HIT,8,55.0,pullback
Nov 2025,MID150BEES,87,2025-11-06,226.13,2025-11-07,222.74,339,76658.07,-1149.21,SL_HIT,1,53.1,pullback
Nov 2025,NIFTYBEES,86,2025-11-06,288.24,2025-12-18,288.24,266,76671.84,0.0,BE_HIT,42,50.7,pullback
Dec 2025,NIFTYBEES,83,2025-12-05,296.01,2025-12-09,291.57,259,76666.59,-1149.96,SL_HIT,4,60.7,pullback
Dec 2025,MID150BEES,78,2025-12-05,229.28,2025-12-08,225.84,334,76579.52,-1148.96,SL_HIT,3,51.7,pullback
